"CRNII","lbin","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","LAT","LONG"
"2007001",175,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",200,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",225,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",250,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",275,0,1,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",300,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",325,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",350,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",375,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",400,0,0,0,0,0,1,0,0,0,0,0,0,41.5391,-82.4841
"2007001",425,0,0,1,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",450,0,0,1,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",475,0,0,0,1,0,3,0,0,0,0,0,0,41.5391,-82.4841
"2007001",500,0,0,0,0,0,0,1,0,0,0,0,0,41.5391,-82.4841
"2007001",525,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",550,0,0,0,0,0,0,1,1,0,0,0,0,41.5391,-82.4841
"2007001",575,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",600,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",625,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",650,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",675,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",700,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",725,0,0,0,0,0,0,0,0,0,1,0,0,41.5391,-82.4841
"2007001",750,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007001",775,0,0,0,0,0,0,0,0,0,0,0,0,41.5391,-82.4841
"2007002",175,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",200,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",225,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",250,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",275,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",300,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",325,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",350,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",375,0,0,2,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",400,0,0,2,2,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",425,0,0,1,1,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",450,0,0,1,2,3,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",475,0,0,3,2,4,7,1,0,0,0,0,0,41.4157,-82.476
"2007002",500,0,0,1,3,3,1,0,0,0,0,0,0,41.4157,-82.476
"2007002",525,0,0,0,0,0,0,1,1,0,0,0,0,41.4157,-82.476
"2007002",550,0,0,0,1,1,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",575,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",600,0,0,0,0,1,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",625,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",650,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",675,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",700,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",725,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",750,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007002",775,0,0,0,0,0,0,0,0,0,0,0,0,41.4157,-82.476
"2007003",175,0,0,0,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",200,0,0,0,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",225,0,0,0,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",250,0,0,0,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",275,0,0,0,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",300,0,0,0,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",325,0,0,0,0,0,1,0,0,0,0,0,0,41.424,-82.4997
"2007003",350,0,0,1,0,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",375,0,0,1,0,1,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",400,0,0,0,1,0,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",425,0,0,0,1,1,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",450,0,0,0,2,2,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",475,0,0,3,0,3,1,0,0,0,0,0,0,41.424,-82.4997
"2007003",500,0,0,1,1,0,2,2,0,0,0,0,0,41.424,-82.4997
"2007003",525,0,0,0,0,1,0,0,0,0,0,0,0,41.424,-82.4997
"2007003",550,0,0,0,1,0,0,2,0,0,0,0,0,41.424,-82.4997
"2007003",575,0,0,0,0,0,0,0,1,0,0,0,0,41.424,-82.4997
